recipient,contract
0x84a1c94de422cd1a8dc6d8cb819f57403fb93d58,0x74acaeaf46df8a90ddb5491faacd64e53e22cfa0
0x4b08b69026aa6549529dc782a9b034917a4789d2,0x6bee7bca3cf3d119856b7dec77bbe011d5f5aa69
0x72b824a543948ddefedf3cf8d6c8659848ba429a,0x3fa1cd98eb3a5c2f60b3ffa66bc51a7e9da24d11
0x3a3ee61f7c6e1994a2001762250a5e17b2061b6d,0xb1bd4cd206d22d77c267b7bf9f05facfa19c905c
0x20503760363657e55dc817a5bc92d297cdefaa12,0x0c34cd423e46fa9e3934b961a3ad546a36caffc9
0x9d07e3406d3e7ec5e19b6804f6f821f684c9339c,0x1411319f0d7630eab50bd06b14ae718992bf36b4
0x093aade94338574ce4923f2aabc8aa0a8e323ad7,0x8791e6b8ab8805b8fa045280a4774eeb39ee6338
0x2720d2c0dc3505e44ce8b76d27b7d06b6cb09493,0x76d9a52751264766db7caea8c3182df9894de69a
0x2538de1b9c5bc4accb26b2ab66e775fe311d8a73,0x6471244165b37bf94fc63351f3817f0ffade6ba5
0x395605f350c448c3e5102213022c3e976140ed25,0x54a4853564275018d52f134a0d16b5da5eb7ef51
0xcaa0293250a239d7d7bd6bc0e365ffcba73da069,0xc3d42cb5a33fe801cbc13d69b7d0aa8e46944734
0x9506e3a899fd5f7650dc9ff61946cdce210dc44b,0x96d55eb026d1628d0d009c25246fde11a9a3a706
0x9db8cb8ddec721aa2ec51e5417af862132e7ba08,0x2389024383e6c71d3e80eb779cc680af78c46fd9
0x1e798ce592be5069e8e773c54f9c12d3583cdc68,0xfb1d84f561863a8dd8b09ec92f8d78b3cb19132e
0x646b1f22863ee983ef5bd756013f86ad6172f20c,0x1a35ea7945c2d39a45392aa85fb8add220fd0f8a
0x34d57c275187f89f6f3a619a113456c4fa4dc173,0x75aa566fed02e03f41c3716396298b03f30e9746
